893, 133560, 18459, -776, -252, 15716, 389, 1348, 1892,
915, 133440, 18227, -564, -208, 14992, 498, 1248, 1983,
937, 133528, 18395, -904, 8, 14820, 567, 794, 2112,
959, 133568, 18480, -1144, 172, 14704, 621, 92, 2232,
982, 133600, 18544, -1624, 212, 15112, 710, -193, 2153,
1003, 133504, 18353, -1916, 444, 15352, 743, -547, 1817,
1026, 133520, 18374, -2116, 508, 16024, 573, -752, 1324,
1051, 133544, 18437, -1688, 228, 16064, 122, -776, 727,
1074, 133608, 18565, -988, 188, 15568, 23, -473, 482,
1095, 133568, 18480, -920, 324, 15312, -29, -427, 468,
1118, 133680, 18716, -672, -16, 15316, -17, -334, 609,
1139, 133512, 18374, -420, 4, 14732, 52, -300, 907,
1162, 133544, 18437, -224, 184, 14360, 235, -319, 1192,
1183, 133496, 18332, -564, 156, 14500, 413, -296, 1361,
1206, 133440, 18227, -756, 532, 14692, 464, -119, 1303,
1227, 133504, 18353, -1108, 736, 15072, 387, -24, 981,
1254, 133472, 18290, -892, 840, 14900, 263, 112, 437,
1275, 133512, 18374, -708, 828, 15148, 217, 336, 77,
1298, 133536, 18416, -352, 712, 15344, 116, 615, -167,
1319, 133496, 18332, -268, 616, 14992, 11, 807, -210,
1341, 133536, 18416, -68, 552, 15068, -96, 882, -149,
1363, 133536, 18416, -68, 584, 14812, -169, 921, -67,
1385, 133464, 18269, -236, 512, 15024, -222, 1075, -28,
1408, 133464, 18269, -564, 760, 15112, -154, 1242, -111,
1429, 133448, 18248, -1144, 948, 15416, -194, 1270, -293,
1456, 133464, 18269, -1256, 1040, 15632, -130, 1432, -620,
1478, 133504, 18353, -1172, 744, 15396, -48, 1537, -740,
1500, 133520, 18374, -880, 520, 15228, 51, 1650, -675,
1522, 133552, 18459, -652, 584, 15036, 216, 1558, -469,
1544, 133552, 18459, -1056, 580, 15244, 223, 1287, -241,
1566, 133608, 18565, -1084, 664, 14912, 268, 927, -87,
1588, 133480, 18311, -940, 632, 14956, 331, 567, -54,
1610, 133440, 18227, -1060, 532, 15436, 228, 183, -75,
1632, 133464, 18269, -1104, 612, 15384, -22, -246, -209,
1658, 133472, 18290, -928, 856, 15192, -258, -688, -256,
1680, 133528, 18395, -1068, 936, 15308, -324, -850, -305,
1702, 133584, 18523, -888, 752, 15736, -448, -756, -386,
1724, 133368, 18082, -612, 752, 15520, -495, -490, -287,
1746, 133472, 18290, -980, 776, 15620, -580, -327, -301,
