2729, 133512, 18374, 692, 136, 15104, 41, 193, -259,
2751, 133496, 18332, 576, 56, 15216, 60, 173, -278,
2774, 133448, 18248, 684, -24, 15320, 66, 195, -279,
2795, 133488, 18311, 608, 4, 15072, 23, 195, -267,
2817, 133472, 18290, 760, 124, 15268, 31, 204, -283,
2839, 133496, 18332, 612, 104, 15172, 30, 197, -282,
2865, 133536, 18416, 648, 208, 15320, 37, 213, -287,
2887, 133472, 18290, 588, 116, 15360, 32, 184, -279,
2909, 133480, 18311, 684, 80, 15320, 47, 183, -286,
2930, 133536, 18416, 664, 216, 15380, 35, 207, -285,
2953, 133528, 18395, 644, 60, 15236, 20, 162, -255,
2974, 133488, 18311, 664, 40, 15112, 30, 167, -269,
2996, 133480, 18311, 632, 104, 15228, 39, 141, -269,
3018, 133520, 18374, 648, 56, 15228, 35, 142, -277,
3040, 133488, 18311, 656, 108, 15264, 30, 127, -295,
3066, 133528, 18395, 748, 40, 15172, 52, 141, -280,
3088, 133528, 18395, 692, 44, 15240, 30, 165, -276,
3109, 133480, 18311, 696, 60, 15176, 31, 169, -271,
3132, 133408, 18165, 704, 144, 15224, 14, 179, -278,
3153, 133504, 18353, 752, 56, 15176, 41, 169, -269,
3175, 133520, 18374, 612, 124, 15136, 39, 182, -292,
3197, 133512, 18374, 736, 140, 15136, 31, 167, -276,
3219, 133488, 18311, 648, 12, 15412, 28, 166, -245,
3240, 133584, 18523, 732, 104, 15228, 21, 195, -252,
3263, 133536, 18416, 724, 168, 15064, 38, 201, -266,
3289, 133512, 18374, 708, 56, 15292, 48, 211, -286,
3310, 133456, 18248, 668, 64, 15040, 50, 197, -274,
3333, 133552, 18459, 672, 48, 15052, 66, 214, -282,
3354, 133528, 18395, 652, 28, 15412, 48, 196, -266,
3376, 133600, 18544, 684, 144, 15236, 29, 230, -268,
3398, 133584, 18523, 660, 48, 15168, 70, 216, -270,
3420, 133552, 18459, 696, 108, 15240, 53, 181, -257,
3441, 133592, 18523, 648, 88, 15096, 27, 199, -257,
3464, 133592, 18523, 700, 156, 15164, 21, 201, -283,
3489, 133608, 18565, 680, 76, 15272, 47, 191, -255,
3512, 133520, 18374, 720, 88, 15240, 55, 190, -272,
3533, 133520, 18374, 636, 52, 15240, 63, 183, -277,
3555, 133584, 18523, 708, 44, 15084, 36, 210, -281,
3577, 133552, 18459, 644, 52, 15144, 52, 204, -267,
3599, 133504, 18353, 688, 144, 15216, 45, 182, -289,
3621, 133528, 18395, 660, 76, 15268, 65, 207, -289,
3643, 133552, 18459, 640, 128, 15048, 71, 202, -281,
3664, 133512, 18374, 592, 8, 15236, 35, 186, -302,
3687, 133520, 18374, 792, 96, 15236, 43, 157, -259,
3713, 133528, 18395, 608, 160, 15108, 46, 152, -280,
3735, 133512, 18374, 656, 116, 15072, 61, 200, -268,
3757, 133528, 18395, 636, -12, 15268, 26, 182, -275,
3778, 133552, 18459, 600, 84, 15216, 59, 202, -260,
3801, 133536, 18416, 656, 84, 15120, 51, 170, -270,
3822, 133600, 18544, 716, 84, 15032, 53, 176, -268,
3844, 133520, 18374, 664, 116, 15072, 55, 189, -291,
3866, 133520, 18374, 684, 104, 15132, 47, 214, -264,
3888, 133576, 18501, 624, 76, 15308, 50, 213, -269,
3909, 133424, 18186, 584, 64, 15232, 61, 219, -257,
3936, 133520, 18374, 748, 128, 15080, 47, 196, -261,
3957, 133424, 18186, 676, 148, 15132, 43, 195, -277,
3980, 133552, 18459, 636, 124, 15204, 38, 203, -270,
4001, 133520, 18374, 692, 168, 15208, 37, 185, -264,
4023, 133544, 18437, 668, 148, 15284, 59, 169, -258,
4045, 133528, 18395, 716, 84, 15132, 44, 187, -276,
4067, 133576, 18501, 648, 68, 15260, 37, 179, -281,
